station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types/0/mechanical,num_bikes_available_types/1/ebike,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,station_opening_hours
17364714962,2,2,0,2,43,43,1,1,1,1776081633,19202,
17364417797,0,0,0,0,29,29,1,1,1,1776081924,14201,
35380305,30,30,8,22,3,3,1,1,1,1776082178,5003,
54000596,4,4,2,2,28,28,1,1,1,1776082173,17021,
17486828694,25,25,24,1,4,4,1,1,1,1776082030,21323,
19941915381,5,5,2,3,34,34,1,1,1,1776082083,43403,
1074339090,9,9,4,5,16,16,1,1,1,1776082077,12164,
18013135935,5,5,1,4,38,38,1,1,1,1776082070,12203,
653040243,24,24,3,21,1,1,1,1,1,1776082053,3007,
1063061372,4,4,2,2,31,31,1,1,1,1776082091,31020,
2705356759,24,24,12,12,4,4,1,1,1,1776082155,28005,
214019379,4,4,0,4,19,19,1,1,1,1776081952,35005,
82574979,17,17,0,17,8,8,1,1,1,1776082157,18112,
2705290225,13,13,11,2,16,16,1,1,1,1776082115,16139,
1074410417,3,3,2,1,25,25,1,1,1,1776082132,42028,
1074352578,7,7,3,4,17,17,1,1,1,1776082122,12166,
653156540,1,1,1,0,30,30,1,1,1,1776082047,22603,
54000573,19,19,16,3,27,27,1,1,1,1776081919,12113,
1981490798,5,5,3,2,19,19,1,1,1,1776082084,21119,
129080400,11,11,0,11,12,12,1,1,1,1776082198,16010,
18013112116,58,58,29,29,7,7,1,1,1,1776082135,16201,
1074428106,11,11,10,1,17,17,1,1,1,1776081844,23042,
653102462,38,38,36,2,3,3,1,1,1,1776082137,42019,
16816575934,26,26,8,18,10,10,1,1,1,1776082138,32022,
1057210479,16,16,14,2,0,0,1,1,1,1776082120,32020,
2705338817,3,3,0,3,19,19,1,1,1,1776081900,27006,
210328645,33,33,22,11,2,2,1,1,1,1776082170,1015,
311153993,26,26,22,4,6,6,1,1,1,1776082029,1008,
99886640,24,24,13,11,0,0,1,1,1,1776082190,2006,
6297,1,1,0,1,17,17,1,1,1,1776081772,9019,
632086890,22,22,16,6,4,4,1,1,1,1776082091,44004,
208603342,18,18,16,2,1,1,1,1,1,1776082030,1024,
653092274,2,2,0,2,31,31,1,1,1,1776081798,19046,
66491366,34,34,18,16,2,2,1,1,1,1776082148,2102,
27414527,17,17,15,2,2,2,1,1,1,1776082093,2020,
1599896463,2,2,0,2,20,20,1,1,1,1776081829,10201,
100790494,20,20,2,18,4,4,1,1,1,1776082151,6007,
210408693,21,21,5,16,4,4,1,1,1,1776082139,6029,
12225158518,1,1,0,1,27,27,1,1,1,1776082093,23202,
49424560,6,6,0,6,28,28,1,1,1,1776082182,12016,
653165196,12,12,11,1,15,15,1,1,1,1776082146,23301,
11146696292,13,13,13,0,18,18,1,1,1,1776082104,42210,
11146714746,8,8,5,3,19,19,1,1,1,1776082107,34013,
1074390359,1,1,0,1,31,31,1,1,1,1776082170,44008,
653159330,9,9,5,4,19,19,1,1,1,1776082115,23104,
653110858,4,4,1,3,17,17,1,1,1,1776081903,21011,
653107480,9,9,4,5,13,13,1,1,1,1776082162,20140,
1988517250,5,5,3,2,20,20,1,1,1,1776082151,48012,
653166892,26,26,17,9,3,3,1,1,1,1776082152,23303,
653104215,1,1,0,1,33,33,1,1,1,1776081900,20010,
653106960,30,30,27,3,7,7,1,1,1,1776082036,42022,
82468690,1,1,1,0,55,55,1,1,1,1776082115,15018,
16899499876,11,11,10,1,5,5,1,1,1,1776081992,26012,
74864208,2,2,0,2,24,24,1,1,1,1776081942,20048,
2002864789,6,6,0,6,8,8,1,1,1,1776082134,10166,
1074398925,27,27,8,19,9,9,1,1,1,1776082177,45004,
567884788,20,20,16,4,2,2,1,1,1,1776082033,13049,
99950133,53,53,38,15,2,2,1,1,1,1776082175,6015,
17721073284,1,1,0,1,19,19,1,1,1,1776082020,32605,
16899518505,6,6,2,4,14,14,1,1,1,1776082094,17202,
17729456391,10,10,2,8,17,17,1,1,1,1776081648,8202,
1057203651,32,32,8,24,12,12,1,1,1,1776082137,32011,
39565873,8,8,0,8,19,19,1,1,1,1776082131,17020,
18013132487,9,9,6,3,31,31,1,1,1,1776081775,12202,
12225289563,1,1,0,1,27,27,1,1,1,1776082176,23206,
12196660096,7,7,5,2,23,23,1,1,1,1776081723,10202,
16898865154,26,26,26,0,3,3,1,1,1,1776082193,42030,
76352106,31,31,15,16,14,14,1,1,1,1776082169,8018,
2515701705,0,0,0,0,20,20,1,1,1,1776082195,20142,
27363206,5,5,1,4,29,29,1,1,1,1776082191,18010,
17869323774,0,0,0,0,25,25,1,1,1,1776082068,48001,
15550433574,10,10,3,7,28,28,1,1,1,1776081704,51008,
486750405,1,1,1,0,23,23,1,1,1,1776082086,18135,
11438171152,1,1,1,0,23,23,1,1,1,1776081887,24101,
10773448319,22,22,20,2,6,6,1,1,1,1776082077,34011,
16529895896,19,19,19,0,10,10,1,1,1,1776082105,21329,
102339791,8,8,4,4,18,18,1,1,1,1776082191,21704,
52474,1,1,0,1,34,34,1,1,1,1776081965,19121,
101015227,24,24,17,7,11,11,1,1,1,1776082178,13015,
11218473640,2,2,1,1,21,21,1,1,1,1776082114,25007,
125370566,2,2,2,0,18,18,1,1,1,1776081843,19114,
66491396,23,23,10,13,24,24,1,1,1,1776082122,12123,
102328355,8,8,7,1,12,12,1,1,1,1776081811,21002,
54000578,5,5,4,1,28,28,1,1,1,1776082147,13024,
39599631,2,2,0,2,21,21,1,1,1,1776082015,16021,
102724418,6,6,4,2,18,18,1,1,1,1776081987,23041,
653184632,5,5,2,3,26,26,1,1,1,1776081761,24005,
74805344,28,28,9,19,1,1,1,1,1,1776082150,8040,
653222953,5,5,1,4,23,23,1,1,1,1776082055,31104,
653110492,11,11,8,3,17,17,1,1,1,1776082162,42024,
84960402,11,11,9,2,27,27,1,1,1,1776082068,5027,
16529911795,13,13,9,4,13,13,1,1,1,1776082197,15203,
42950428,3,3,3,0,47,47,1,1,1,1776082154,13116,
653193536,0,0,0,0,20,20,1,1,1,1776082189,48006,
54000589,1,1,1,0,65,65,1,1,1,1776082051,15012,
74692052,4,4,1,3,29,29,1,1,1,1776082168,18016,
35080917,3,3,1,2,27,27,1,1,1,1776082112,19117,
7402,5,5,3,2,10,10,1,1,1,1776082183,11022,
101759167,10,10,7,3,36,36,1,1,1,1776082134,15053,
653114003,8,8,5,3,17,17,1,1,1,1776082111,21022,
89553051,6,6,1,5,15,15,1,1,1,1776081952,20003,
54000591,3,3,0,3,34,34,1,1,1,1776081819,15041,
37420,16,16,7,9,1,1,1,1,1,1776082128,10003,
75352635,12,12,2,10,11,11,1,1,1,1776082008,41103,
34836174,12,12,3,9,18,18,1,1,1,1776082114,41602,
6354,0,0,0,0,31,31,1,1,1,1776082056,13028,
102287315,29,29,29,0,13,13,1,1,1,1776081989,15069,
39776330,1,1,1,0,16,16,1,1,1,1776081847,20012,
27415194,3,3,0,3,50,50,1,1,1,1776082131,14027,
653114443,8,8,6,2,9,9,1,1,1,1776082180,42303,
653190196,0,0,0,0,37,37,1,1,1,1776081937,48002,
27363156,4,4,0,4,18,18,1,1,1,1776081684,41605,
16206842336,11,11,3,8,17,17,1,1,1,1776081938,30003,
66491409,0,0,0,0,20,20,1,1,1,1776082164,35013,
82583924,0,0,0,0,28,28,1,1,1,1776081780,20020,
124183944,8,8,5,3,46,46,1,1,1,1776081951,12008,
27363389,26,26,26,0,3,3,1,1,1,1776082116,12102,
66491373,6,6,5,1,13,13,1,1,1,1776081774,13120,
