station_id,stationCode_info,name,lat,lon,capacity,station_opening_hours_info,rental_methods/0,num_bikes_available,numBikesAvailable,mechanical_bikes,ebikes,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode_status,station_opening_hours_status,availability_rate,occupancy_rate,availability_status,ebike_percentage,is_operational
2515802454,22016,Charles de Gaulle - Sablonville,48.87991924860035,2.2763770446181297,26,,,4,4,0,4,21,21,1,1,1,1776082103,22016,,15.38,19.23,Low,100.0,1
648227675,14136,Auguste Cain - Jean Moulin,48.82577028927573,2.321041524410248,40,,,5,5,2,3,35,35,1,1,1,1776081957,14136,,12.5,12.5,Low,60.0,1
1062206433,32302,Chemin Vert - Fraternité,48.87714120835904,2.4461565166711807,20,,,0,0,0,0,19,19,1,1,1,1776082055,32302,,0.0,5.0,Empty,,1
129032910,10014,Marseille - Beaurepaire,48.871624306962985,2.3639265082738348,55,,CREDITCARD,7,7,2,5,47,47,1,1,1,1776082176,10014,,12.73,14.55,Available,71.43,1
54001024,11035,Parmentier - Abel Rabaud,48.86921273836114,2.371688821240712,52,,CREDITCARD,5,5,3,2,47,47,1,1,1,1776082179,11035,,9.62,9.62,Low,40.0,1
94250567,42010,Mairie d'Ivry-sur-Seine,48.81057120969284,2.384282648563385,53,,,19,19,16,3,34,34,1,1,1,1776082154,42010,,35.85,35.85,Available,15.79,1
129078200,15046,Parc Georges Brassens - Brancion,48.83227829269761,2.3022570088505745,29,,CREDITCARD,2,2,0,2,27,27,1,1,1,1776082147,15046,,6.9,6.9,Low,100.0,1
649888071,46001,Place Paul Eluard,48.7672039733195,2.4144977331161503,19,,CREDITCARD,16,16,16,0,3,3,1,1,1,1776081975,46001,,84.21,84.21,Available,0.0,1
82563707,16040,Exelmans - Michel-Ange,48.84309486651855,2.2597770800669053,33,,CREDITCARD,13,13,7,6,19,19,1,1,1,1776082021,16040,,39.39,42.42,Available,46.15,1
129143598,22006,Pierret - Madrid,48.882976576876565,2.260125767248034,28,,CREDITCARD,14,14,12,2,14,14,1,1,1,1776082144,22006,,50.0,50.0,Available,14.29,1
213690847,17028,Reims - Raymond Pitet,48.8888,2.296319,37,,,16,16,7,9,21,21,1,1,1,1776082007,17028,,43.24,43.24,Available,56.25,1
102333275,21301,Saint-Vincent - Verdun,48.819211549234495,2.254007756710053,34,,,26,26,21,5,8,8,1,1,1,1776082084,21301,,76.47,76.47,Available,19.23,1
